"OTU","Abundance","Sample","Group"
"o__Flavobacteriales",0.032748112435186,"SRR10802227","GERD"
"o__Saccharimonadales",0.032618025751073,"SRR10802224","Health"
"o__Micrococcales",0.0320680628272251,"SRR10802237","GERD"
"o__Actinomycetales",0.0320176649185758,"SRR10802243","Health"
"o__Peptostreptococcales-Tissierellales",0.0317460317460317,"SRR10802234","GERD"
"o__Peptostreptococcales-Tissierellales",0.03157722513089,"SRR10802237","GERD"
"o__Coriobacteriales",0.0314611486486486,"SRR10802232","GERD"
"o__Actinomycetales",0.031129900076864,"SRR10802233","Health"
"o__Micrococcales",0.0309934899518823,"SRR10802242","Health"
"o__Saccharimonadales",0.0307756003312172,"SRR10802243","Health"
"o__Micrococcales",0.030554507732931,"SRR10802241","GERD"
"o__Fusobacteriales",0.0301958008964378,"SRR10802223","Health"
"o__Flavobacteriales",0.0300585556278465,"SRR10802230","GERD"
"o__Veillonellales-Selenomonadales",0.0298419438546827,"SRR10802223","Health"
"o__Coriobacteriales",0.0297983083929733,"SRR10802230","GERD"
"o__Actinomycetales",0.029595015576324,"SRR10802236","GERD"
"o__Lachnospirales",0.0295612009237875,"SRR10802221","Health"
"o__Burkholderiales",0.029560482302606,"SRR10802225","Health"
"o__Saccharimonadales",0.0290796761823605,"SRR10802226","Health"
"o__Peptostreptococcales-Tissierellales",0.0289330922242315,"SRR10802245","Health"
"o__Coriobacteriales",0.0283861495167013,"SRR10802231","GERD"
"o__Micrococcales",0.0283861495167013,"SRR10802231","GERD"
